"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:45jJ6Q9LYboGyjH0vuOhM2","Cristal & МОЁТ","spotify:artist:0XNKQFs2Ewb3y0VsFUFc5l","MORGENSHTERN","spotify:album:5z6TpM9IPxU63MuofNRBmJ","Cristal & МОЁТ","spotify:artist:0XNKQFs2Ewb3y0VsFUFc5l","MORGENSHTERN","2020-12-28","https://i.scdn.co/image/ab67616d0000b273ac3b3e7940daf3d5d2597d71","1","1","137142","https://p.scdn.co/mp3-preview/177e0d6d034150f02557c78346a3ad7443fd0307?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","RUA582104519","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2022-09-06T00:15:43Z"
"spotify:track:5LRON6LsCpRzAkiLrWDmX5","Bre Petrunko","spotify:artist:5P4ph1tYOfncKBtJvRrGzN","Dabro remix","spotify:album:2RDJMuhrlx1kNKZ1Qhk5W9","Bre Petrunko","spotify:artist:5P4ph1tYOfncKBtJvRrGzN","Dabro remix","2020-07-24","https://i.scdn.co/image/ab67616d0000b273c297faea3a64ce1d418976d3","1","1","158160","https://p.scdn.co/mp3-preview/ab8577564fbab28c03f4eab14e1675d6896f98ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QM6P42085536","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2022-09-06T00:15:43Z"
"spotify:track:66mruVyA3XV77xN6MUL0R4","Kiss Me","spotify:artist:3N2leMOSuFC9QRkGScNbmS","Monotrop","spotify:album:11mUI5uQKhiE1d9BF6aPcO","Around Space","spotify:artist:3N2leMOSuFC9QRkGScNbmS","Monotrop","2014-12-11","https://i.scdn.co/image/ab67616d0000b2735c76904e93f0f4a1a71dacb6","1","8","145986","https://p.scdn.co/mp3-preview/13bd5f16c2c1256122efd451b84ee42ef7713b0c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","CZA161443178","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2022-09-06T00:15:43Z"
"spotify:track:5561HkcMU0A4i3D6Tlsxhe","Обійми","spotify:artist:6NTzEgUmN1PIBIYEHhf1kS","Okean Elzy","spotify:album:0KS4481ykVKBbjIsxlvyyN","Земля","spotify:artist:6NTzEgUmN1PIBIYEHhf1kS","Okean Elzy","2013-05-15","https://i.scdn.co/image/ab67616d0000b2737c5dd89f14f0e9a18f360d59","1","7","224111","https://p.scdn.co/mp3-preview/fb2dbb9fe591b362b376cc9813cdb9d80c8789ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USV351348028","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2022-09-06T00:15:43Z"
"spotify:track:59TmUNixboyzIMm9bcuWOT","Simpa Pa Polyubila - Remix","spotify:artist:4h4HieIx5POynSXMwOnTiW, spotify:artist:151s8CeSbps6zNtXFUoVKi","Vuong Ngoc Manh, Michael K","spotify:album:4wBGkLarf4799vqGbTF4fD","Simpa Pa Polyubila (Remix)","spotify:artist:4h4HieIx5POynSXMwOnTiW, spotify:artist:151s8CeSbps6zNtXFUoVKi","Vuong Ngoc Manh, Michael K","2021-09-08","https://i.scdn.co/image/ab67616d0000b2737ee91134f82527f8282b7882","1","1","226264","https://p.scdn.co/mp3-preview/d02590de4c12cb431a3398332062871fa8749313?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","VNLLT2179101","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2022-09-06T00:15:43Z"
"spotify:track:4P0r0yO7HNPvOra7BHGixH","Money Rain - Phonk Remix","spotify:artist:1iuGd0kNu2eqLwP9DFGCNY, spotify:artist:3kXvE7gEBfGkwDaknMngF7","VTORNIK, Phonk","spotify:album:0z3SFl34YWiKMXwsTNPdVp","Money Rain (Phonk Remix)","spotify:artist:1iuGd0kNu2eqLwP9DFGCNY, spotify:artist:3kXvE7gEBfGkwDaknMngF7","VTORNIK, Phonk","2021-06-14","https://i.scdn.co/image/ab67616d0000b2730cffcb3e6efe7b82200366cd","1","1","150941","https://p.scdn.co/mp3-preview/6b1065654500b0269fbfac765f0ce2a5d3694d73?cid=9950ac751e34487dbbe027c4fd7f8e99","true","1","FRX202155076","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2022-09-06T00:15:43Z"
"spotify:track:65cYA2DbCETUTylYI75HgP","это ли счастье?","spotify:artist:0a3zDmrvmZcORfPeONPvfL","Rauf & Faik","spotify:album:7epMBpBjzyg9sYDMn7uxAb","это ли счастье?","spotify:artist:0a3zDmrvmZcORfPeONPvfL","Rauf & Faik","2019-04-19","https://i.scdn.co/image/ab67616d0000b273198583e41bb71b47ec083021","1","1","204489","https://p.scdn.co/mp3-preview/610ce51acbb71530f7f4f90c10248b1175d032f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FR2X41945190","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2022-09-09T18:29:38Z"
"spotify:track:59vIllaE2ottAAAtAiAuLt","Яд","spotify:artist:2uBR4Yh27WB4rn7t3c4uCX","Erika Lundmoen","spotify:album:2Ku50Drr3ULS0sGV8dPa9M","Источник","spotify:artist:2uBR4Yh27WB4rn7t3c4uCX","Erika Lundmoen","2019-04-26","https://i.scdn.co/image/ab67616d0000b273a6588c81f4bfc3d58ad061ce","1","10","216833","https://p.scdn.co/mp3-preview/a61c83476c8158d1e4a73ec7f081b754d9ea8c4f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","RUA0G1800549","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2022-12-04T17:55:06Z"
"spotify:track:4LOE0UFjSTclNqRVvcdPDQ","JARGECE307","spotify:artist:79n0H2iF8IJY6pnMCg7GQu, spotify:artist:0tnONgQs9kcDmYcxypvZp7","akucum, hinode","spotify:album:4qoIJ6aW2drAGwmQYOsc9C","JARGECE307","spotify:artist:79n0H2iF8IJY6pnMCg7GQu, spotify:artist:0tnONgQs9kcDmYcxypvZp7","akucum, hinode","2022-09-07","https://i.scdn.co/image/ab67616d0000b2738d5bb4455f7d1663114722b9","1","1","176248","https://p.scdn.co/mp3-preview/872baa06f8b98f839ed3b957c92203938019124f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QZNWV2298524","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2023-01-02T18:21:09Z"
"spotify:track:5G8QKxPILlA34renUDrOih","Ты и Я","spotify:artist:774od4b04zDMQMGxrJDeuB","Xcho","spotify:album:2GB5KYQlUVjyszd3IOACbg","Ты и Я","spotify:artist:774od4b04zDMQMGxrJDeuB","Xcho","2022-03-25","https://i.scdn.co/image/ab67616d0000b2738265b15bc141dfe1a8cc91b9","1","1","148148","https://p.scdn.co/mp3-preview/05b0a87b9b6f2e74ae4558a5ce3871b30aaeea8e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","FR59R2209456","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2023-06-25T17:06:13Z"
"spotify:track:75VNPADAFa4iNpjEBUYMhF","Love Your Voice","spotify:artist:2ISiyx4DLCMAMBCvPesCoq","JONY","spotify:album:50MtpBm9kknAYEwyzj4obo","Список твоих мыслей","spotify:artist:2ISiyx4DLCMAMBCvPesCoq","JONY","2019-06-21","https://i.scdn.co/image/ab67616d0000b273b461ea676b6c3858ce862de9","1","2","150329","https://p.scdn.co/mp3-preview/bad8fe444ede6a1d22c549b0a2a6055401a55aad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FR59R1915928","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2023-06-25T17:57:24Z"
"spotify:track:0F7pTAMyTJFdvveeQ1GfVL","Тлеет","spotify:artist:52MfnvUI6g1WZP1yG6L3P6, spotify:artist:3KASYkULd21Zk5cnVgKQ5z","Bula, SVNV","spotify:album:3Jl8sr0XYgqlxsFUWA2Ei8","Тлеет","spotify:artist:52MfnvUI6g1WZP1yG6L3P6","Bula","2020-10-20","https://i.scdn.co/image/ab67616d0000b273471748f7789c9ceb6be37aa9","1","1","150579","https://p.scdn.co/mp3-preview/2b158da751b522219374a32d8f3a9a270261f247?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","SMRUS0065742","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2023-10-16T10:30:39Z"
"spotify:local:Emin+Ft.+Jony:Kamin+-+%28Tiktok+Version%29+-+Single:Kamin+-+%28Tiktok+Version%29:47","Kamin - (Tiktok Version)","","Emin Ft. Jony","","Kamin - (Tiktok Version) - Single","","","","","0","0","47000","","false","0","","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2023-11-23T18:39:56Z"
"spotify:track:13IHOKwB2JeL3L4up1Kb3G","True Love","spotify:artist:5r86LHe3ZbxRCTd66PoCDP","Dri Kara","spotify:album:08w2qDFjWkFilQsntRD7C5","True Love","spotify:artist:5r86LHe3ZbxRCTd66PoCDP","Dri Kara","2023-01-18","https://i.scdn.co/image/ab67616d0000b2730be4e6c1847f9774998d959a","1","1","116134","https://p.scdn.co/mp3-preview/04021c980cbac5777c2c236b9b310987c734f1b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TCAGY2391412","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2024-03-15T17:14:27Z"
"spotify:local:EMIN+%26+JONY:%D0%9A%D0%B0%D0%BC%D0%B8%D0%BD+-+Single:%D0%9A%D0%B0%D0%BC%D0%B8%D0%BD+-+%28Tiktok+Version%29:48","Камин - (Tiktok Version)","","EMIN & JONY","","Камин - Single","","","","","0","0","48000","","false","0","","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2024-06-25T19:45:12Z"
"spotify:track:0L8ssiH5So2voHoJLzaivx","Лали (Lali) - Slowed + Reverb","spotify:artist:307K1LRa91vXcrTvASK0qX","Bora Media","spotify:album:3tSFLp57nAiYYqXbtvzNDc","Лали (Lali) [Slowed + Reverb]","spotify:artist:307K1LRa91vXcrTvASK0qX","Bora Media","2023-04-10","https://i.scdn.co/image/ab67616d0000b27351186bafb225d889b593e5a8","1","1","177528","","false","0","FRDKW2306582","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2024-10-23T23:22:20Z"
"spotify:track:5KMQGErDASymjKq0LDa0MN","Камин","spotify:artist:0sKY9AcBdiGx4FbFbQsXoX, spotify:artist:2ISiyx4DLCMAMBCvPesCoq","EMIN, JONY","spotify:album:1FIp5aFdDk9BSdAZxQwwIE","44","spotify:artist:0sKY9AcBdiGx4FbFbQsXoX","EMIN","2023-12-08","https://i.scdn.co/image/ab67616d0000b2737c2dd3aa05049b35d42db1ab","1","4","187619","https://p.scdn.co/mp3-preview/8d1497710e67aee40fe78153a3c168c902cb3b94?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","FRX452055103","spotify:user:31z3veo26ee6gbnfgc5l62tx723q","2025-04-09T16:43:53Z"
